symbol,trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,max_drawdown_pct,avg_bars_held
AMD,598,0.3796,0.4955,-0.3021,1.0037,0.0007,-17.9555,3.74
AMZN,598,0.3712,0.3029,-0.1597,1.1196,0.012,-4.9794,3.93
COIN,495,0.3394,0.756,-0.3837,1.0122,0.0031,-21.4995,3.88
META,588,0.3605,0.3113,-0.1743,1.0072,0.0008,-9.1514,3.83
NVDA,648,0.3164,0.3848,-0.1933,0.9211,-0.0104,-15.8001,3.63
PLTR,599,0.3539,0.456,-0.2777,0.8995,-0.018,-20.0936,3.86
SMH,600,0.3983,0.2807,-0.1676,1.1091,0.011,-4.4256,4.22
SOXL,653,0.389,0.9223,-0.5017,1.1703,0.0522,-18.3451,4.08
TQQQ,655,0.3817,0.4443,-0.2482,1.1047,0.0161,-13.318,4.19
TSLA,593,0.3659,0.4647,-0.2444,1.0974,0.0151,-7.0418,3.92
ALL,6027,0.366,0.4812,-0.2641,1.0517,0.0087,-28.842,3.93
