symbol,trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,max_drawdown_pct,avg_bars_held
AMD,242,0.3884,0.8903,-0.4286,1.3193,0.0837,-15.3937,4.12
AMZN,238,0.3361,0.4825,-0.2706,0.9028,-0.0175,-12.142,3.78
COIN,200,0.4,1.0845,-0.5627,1.2849,0.0962,-18.8575,3.84
META,241,0.3651,0.4239,-0.259,0.9413,-0.0096,-7.3579,3.7
NVDA,261,0.3755,0.5445,-0.3072,1.0658,0.0126,-13.9474,3.64
PLTR,233,0.3219,0.7889,-0.4121,0.9086,-0.0256,-15.7751,3.64
SMH,256,0.3672,0.5027,-0.2622,1.1126,0.0187,-6.4418,4.26
SOXL,262,0.3817,1.659,-0.8471,1.2089,0.1094,-16.8289,4.55
TQQQ,253,0.4032,0.895,-0.4585,1.3186,0.0872,-13.9291,4.43
TSLA,231,0.3853,0.9187,-0.3653,1.5762,0.1294,-4.6794,4.07
ALL,2417,0.3724,0.8279,-0.4149,1.1839,0.0479,-18.8575,4.01
